Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Minnesota Timberwolves,NBA,1989-90,2022-23,34,2680,1074,1606,.401,10,1,0,0
New Orleans Pelicans,NBA,2002-03,2022-23,21,1653,766,887,.463,8,1,0,0
New Orleans Pelicans,NBA,2013-14,2022-23,10,767,347,420,.452,3,0,0,0
NO/Ok. City Hornets,NBA,2005-06,2006-07,2,164,77,87,.470,0,0,0,0
New Orleans Hornets,NBA,2002-03,2012-13,9,722,342,380,.474,5,1,0,0
New York Knicks,NBA/BAA,1946-47,2022-23,77,5990,2903,3087,.485,43,8,4,2
Oklahoma City Thunder,NBA,1967-68,2022-23,56,4490,2396,2094,.534,32,11,4,1
Oklahoma City Thunder,NBA,2008-09,2022-23,15,1160,651,509,.561,10,5,1,0
Seattle SuperSonics,NBA,1967-68,2007-08,41,3330,1745,1585,.524,22,6,3,1
Orlando Magic,NBA,1989-90,2022-23,34,2687,1253,1434,.466,16,6,2,0
Philadelphia 76ers,NBA,1949-50,2022-23,74,5824,3031,2793,.520,52,12,5,3
Philadelphia 76ers,NBA,1963-64,2022-23,60,4811,2455,2356,.510,38,9,5,2
Syracuse Nationals,NBA,1949-50,1962-63,14,1013,576,437,.569,14,3,0,1
Phoenix Suns,NBA,1968-69,2022-23,55,4410,2360,2050,.535,31,8,3,0
Portland Trail Blazers,NBA,1970-71,2022-23,53,4246,2261,1985,.533,37,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2022-23,75,5888,2681,3207,.455,29,5,0,1
Sacramento Kings,NBA,1985-86,2022-23,38,3013,1275,1738,.423,10,2,0,0
Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,.459,1,0,0,0
Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,.467,7,0,0,0
Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,.576,7,2,0,1
San Antonio Spurs,NBA/ABA,1967-68,2022-23,56,4495,2653,1842,.590,47,22,6,5
San Antonio Spurs,NBA,1976-77,2022-23,47,3751,2275,1476,.607,39,22,6,5
San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,.579,3,0,0,0
Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,.357,1,0,0,0
Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,.495,4,0,0,0
Toronto Raptors,NBA,1995-96,2022-23,28,2195,1052,1143,.479,13,7,1,1
Utah Jazz,NBA,1974-75,2022-23,49,3919,2134,1785,.545,31,11,2,0
Utah Jazz,NBA,1979-80,2022-23,44,3509,1973,1536,.562,31,11,2,0
New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,.393,0,0,0,0
Washington Wizards,NBA,1961-62,2022-23,62,4971,2244,2727,.451,30,8,4,1
Washington Wizards,NBA,1997-98,2022-23,26,2030,866,1164,.427,9,1,0,0
Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,.470,13,2,3,1
Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,.573,1,1,0,0
Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,.493,7,4,1,0
Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,.313,0,0,0,0
Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,.225,0,0,0,0
